0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,mean_freq,gender,target,cat_id
3253.679,-1300.0604,-3428.619,178.22336,145.87761,5530.401,-1929.7223,-2155.6733,6838.9844,2277.829,859.6543,40.76778,-573.33374,-400.46622,-379.79895,-4267.178,-6567.778,-6228.5796,-2946.7852,-4530.32,-3988.0386,3238.0576,-2746.2227,1999.6842,-9343.559,-7682.5195,-4276.402,-7197.722,-2221.8042,1100.849,-2325.3665,-3065.0703,-5070.931,-6028.701,-9589.719,-2251.0718,1691.0298,917.07166,3501.7832,-764.4451,-7006.3755,-643.0806,-1289.6302,1237.3319,-3840.3616,1329.9863,-10145.7,-6010.587,2037.4446,-5419.3496,-2754.3547,-1726.5144,2508.8308,6245.4185,-6291.221,-2560.3079,-7587.295,1116.7598,-1119.382,-5519.1562,-940.57,113.28675,4717.8193,769.59753,-2917.4727,-1385.8594,-1980.2793,-2013.0867,-4045.4631,-3016.7249,-7035.901,885.24176,1833.9763,2496.7456,-1591.7152,-3313.8127,1785.1974,-6858.263,-4716.5137,-8622.529,-3063.2566,-4425.531,3451.2454,2394.6133,-1562.9338,-6072.3237,-2726.3667,-6635.399,-1211.2549,-8601.801,2142.913,-6554.794,1750.4406,-5686.264,-6908.964,-6733.227,-1768.755,1433.3033,370.4315,-2890.6458,-1258.9548,-4691.407,-2698.2698,-5026.85,2139.271,2455.7673,-4334.1245,2428.3586,-4341.108,-1780.7888,-310.2941,2647.6714,-4672.4126,-1460.2308,-313.3353,2208.2014,-1181.452,-7187.4424,5523.7847,-4232.835,1537.3798,-7670.2295,2827.7231,-530.9152,-3267.7144,3789.5164,-6954.056,-1200.455,679.55,M,2.0,006A
3338.0847,-1419.996,-3464.4106,183.5827,311.41168,5724.5674,-1989.8912,-2187.1287,7025.078,2406.538,962.69025,-28.465359,-571.14343,-401.10468,-449.51544,-4333.442,-6723.6626,-6424.421,-2977.1235,-4764.6226,-3883.7441,3260.411,-2842.1501,2119.7734,-9350.252,-7862.8735,-4144.173,-7349.872,-2257.7312,1116.5763,-2468.567,-3042.3193,-5175.3667,-6135.719,-9873.476,-2320.504,1704.2238,969.2687,3679.3203,-920.69806,-7159.949,-741.60315,-1421.1235,1218.3574,-3998.1907,1354.3689,-10201.262,-6172.755,2012.283,-5649.5693,-2597.6406,-1899.6974,2675.722,6484.4536,-6470.6343,-2760.7056,-7867.389,1201.6704,-1025.1696,-5661.3027,-764.4839,325.33887,4942.571,829.55774,-3077.5984,-1422.4268,-2127.7917,-2318.339,-4083.0972,-3032.1492,-7060.1587,1021.4591,1948.02,2709.2969,-1642.6914,-3482.788,1854.1921,-6944.162,-4803.494,-8761.821,-3148.1655,-4594.71,3655.339,2469.2542,-1464.2213,-6345.4253,-2871.1357,-6669.38,-1392.1327,-8953.918,2150.745,-6811.0703,1948.3972,-5999.2485,-7084.5303,-7003.562,-1728.257,1519.1404,502.11072,-3081.3726,-1362.1399,-4813.028,-2640.47,-5153.6084,2226.7466,2506.8083,-4483.917,2621.4087,-4435.635,-1847.736,-325.68643,2698.1125,-4875.4854,-1518.3063,-309.42197,2328.2573,-1321.8446,-7440.5347,5725.2593,-4292.489,1650.1471,-7835.516,2848.9236,-515.0856,-3226.898,3920.7097,-7107.833,-1304.0648,469.14,F,5.0,000A
3282.336,-1396.401,-3533.982,149.29416,207.89177,5654.894,-1989.5737,-2193.4783,6968.383,2366.7522,912.8126,83.970535,-579.54364,-455.37744,-369.23108,-4433.6445,-6713.87,-6386.555,-3047.4421,-4653.233,-3946.7637,3288.1206,-2774.7925,2068.1152,-9492.716,-7818.19,-4259.618,-7368.5273,-2286.5344,1145.3344,-2347.5247,-3161.8955,-5268.2393,-6088.7607,-9891.84,-2323.6174,1662.9788,912.3591,3660.8457,-811.10614,-7098.575,-747.61414,-1340.9155,1257.7559,-3934.926,1387.4253,-10259.235,-6225.991,1970.3918,-5537.808,-2703.502,-1887.9886,2608.425,6372.034,-6523.1216,-2643.8728,-7811.2812,1156.3561,-1115.9166,-5703.907,-869.71643,156.91058,4761.2085,841.4606,-3015.0408,-1416.981,-2211.2788,-2139.2844,-4098.2407,-3104.5146,-7083.7617,939.82336,1924.8733,2615.508,-1548.3357,-3496.853,1769.6702,-7019.8643,-4792.6055,-8711.435,-3111.3672,-4591.8154,3561.141,2490.583,-1564.8307,-6233.8726,-2830.8896,-6722.92,-1230.7217,-8864.914,2147.7908,-6742.096,1778.3098,-5903.3013,-7105.3975,-6935.208,-1834.5424,1468.9166,427.73563,-3005.8367,-1382.7727,-4742.38,-2793.116,-5174.298,2258.451,2553.9182,-4406.9907,2521.269,-4440.156,-1889.6085,-351.22467,2686.753,-4858.3657,-1558.7438,-381.6876,2273.2993,-1224.3954,-7275.9824,5688.145,-4380.5723,1601.4718,-7846.7603,2945.342,-593.87024,-3310.9148,3889.7998,-7059.003,-1274.8529,1218.97,X,0.0,044A
4882.2915,-2161.83,-5307.861,168.995,255.57112,8415.017,-2979.138,-3213.3972,10388.607,3472.3523,1381.2577,69.35001,-832.69403,-813.414,-444.763,-6616.0854,-9797.569,-9560.246,-4603.476,-7094.1514,-5876.2495,4848.364,-4016.9639,3013.5996,-13829.977,-11523.886,-6466.7217,-10818.12,-3409.9495,1662.097,-3464.799,-4581.049,-7625.127,-9003.646,-14480.698,-3422.349,2464.0618,1364.3468,5370.174,-1282.5924,-10509.741,-1077.6807,-2110.6326,1975.0892,-5672.687,1930.3511,-15331.687,-9161.056,3049.4836,-8214.7705,-3956.0986,-2894.035,3773.007,9471.971,-9536.065,-3873.4153,-11483.998,1760.0598,-1682.6,-8676.456,-1464.603,244.57353,7053.672,1212.3536,-4430.706,-2100.3687,-3249.378,-3114.4995,-6111.9565,-4643.102,-10680.294,1283.5784,2854.3936,3831.767,-2312.799,-5161.438,2765.6338,-10344.624,-7118.6787,-12938.76,-4517.0444,-6762.1523,5315.8633,3700.1262,-2283.5945,-9361.642,-4162.3433,-9772.672,-1747.7452,-13097.943,3176.818,-10009.516,2776.0344,-8542.191,-10577.453,-10353.614,-2682.249,2239.9263,634.09924,-4456.8696,-1934.9244,-7052.148,-4088.5247,-7708.9204,3342.4714,3817.9595,-6601.437,3728.1343,-6679.2856,-2816.6807,-500.88232,3984.0325,-7182.492,-2336.664,-608.8047,3424.543,-1871.0364,-10819.304,8382.071,-6393.4365,2245.165,-11616.735,4116.0483,-883.1938,-4949.7915,5769.624,-10496.903,-2006.7511,1237.65,X,0.0,014B
3503.626,-1458.7937,-3623.8113,196.71686,237.97202,5886.227,-2068.3577,-2297.6812,7219.8496,2454.4438,874.4556,-1.3860124,-576.64343,-411.97168,-434.55255,-4487.8135,-6904.8022,-6593.6113,-3103.1223,-4858.135,-4114.1343,3387.88,-2974.1614,2185.7603,-9722.98,-8113.995,-4385.1963,-7591.907,-2362.076,1169.7509,-2504.3826,-3172.4211,-5338.634,-6306.114,-10206.494,-2393.8584,1720.3428,1030.9313,3702.675,-905.5752,-7399.243,-714.96155,-1380.4468,1295.2795,-4097.925,1392.9303,-10560.172,-6375.2646,2124.2627,-5774.3115,-2787.5615,-1924.1459,2730.8003,6605.7583,-6635.397,-2777.143,-8078.5874,1157.4163,-1120.1095,-5831.8076,-905.0844,266.84656,5035.8916,823.1513,-3140.4863,-1463.6133,-2149.1792,-2215.6665,-4282.6157,-3110.072,-7343.178,988.5543,1975.9454,2763.2969,-1707.6252,-3538.7476,1893.574,-7201.606,-4974.7773,-9098.323,-3261.8726,-4689.269,3698.0925,2553.4893,-1527.7081,-6515.5024,-2956.1172,-6928.38,-1366.3914,-9201.734,2200.6865,-6971.6895,1955.0098,-6143.8755,-7295.9346,-7184.3076,-1806.3282,1557.8594,472.60785,-3140.298,-1391.2227,-4913.7974,-2744.4436,-5296.6333,2272.0042,2586.6736,-4563.955,2645.3662,-4604.4663,-1941.3336,-330.8294,2833.922,-4985.3345,-1531.3859,-372.18875,2336.0574,-1353.5337,-7645.9707,5831.2246,-4380.567,1679.1583,-8093.6553,2944.16,-546.6624,-3363.108,4081.612,-7353.6616,-1369.3765,622.03,F,5.0,000A
3641.1785,-1535.7137,-3874.1074,200.3775,363.32013,6300.3296,-2200.3474,-2365.523,7656.8105,2625.519,1085.4427,77.035835,-596.23645,-579.8634,-516.57904,-4827.101,-7283.4194,-7051.5454,-3388.7974,-5405.1772,-4297.026,3480.6975,-3049.499,2260.026,-10172.367,-8514.146,-4681.4526,-8029.5596,-2466.557,1241.1265,-2555.3516,-3292.9546,-5706.1313,-6738.381,-10689.016,-2618.433,1868.0997,1033.9445,4015.726,-1080.7502,-7847.5146,-833.6197,-1580.3684,1306.7042,-4258.091,1488.4595,-11171.226,-6736.5713,2163.4133,-6150.791,-2909.7756,-2102.3696,2899.5771,7042.602,-7068.0435,-2987.8008,-8552.215,1382.2979,-1116.9326,-6308.8877,-875.2612,235.1857,5362.7427,940.3613,-3380.3918,-1549.8488,-2343.3906,-2446.064,-4356.984,-3417.0908,-7688.0503,1087.84,2146.5195,2895.1633,-1733.5376,-3789.5923,1962.0796,-7686.871,-5307.6226,-9570.871,-3446.4775,-4913.1357,4092.1877,2699.8218,-1483.6766,-6874.9927,-3020.5718,-7193.3745,-1400.3254,-9785.012,2429.0889,-7494.347,2083.5334,-6393.9106,-7800.2134,-7658.847,-1884.6719,1679.674,551.81305,-3415.0422,-1416.915,-5180.9585,-2907.6248,-5593.126,2455.9634,2725.2024,-4801.959,2829.934,-4911.982,-2040.1615,-340.30865,2974.1985,-5378.4995,-1724.1681,-351.02005,2608.3286,-1435.57,-8140.058,6227.153,-4715.182,1795.9912,-8588.279,3128.0764,-651.1452,-3563.977,4232.7793,-7745.2266,-1466.4922,644.66,M,6.0,033A
3671.2188,-1566.2638,-3907.044,188.67706,266.03186,6314.5464,-2303.7268,-2437.0205,7747.752,2596.395,916.0961,12.515248,-583.9787,-475.19757,-423.23065,-4849.549,-7286.3955,-7131.0737,-3360.7446,-5242.317,-4329.526,3625.147,-2931.6016,2320.6943,-10260.711,-8707.317,-4843.355,-8150.385,-2513.7556,1298.4036,-2616.627,-3419.264,-5766.206,-6716.117,-10779.812,-2601.976,1867.7296,1031.8854,3952.1377,-985.5983,-7918.266,-747.71094,-1436.274,1514.6067,-4400.5444,1436.5134,-11341.657,-6871.4365,2272.8665,-6102.755,-3038.0776,-2099.4055,2875.6423,7015.513,-7127.0024,-2920.5596,-8561.391,1296.8318,-1221.6427,-6308.7227,-982.04364,164.43709,5304.3716,878.1865,-3372.779,-1568.4778,-2378.3525,-2362.9302,-4558.294,-3380.7937,-7900.2954,979.2847,2092.5283,2845.266,-1735.7065,-3837.3535,2011.931,-7674.284,-5336.1387,-9675.078,-3467.6416,-4917.247,3980.1326,2712.3208,-1616.4781,-6965.3677,-3184.1802,-7271.3066,-1405.59,-9800.356,2384.2507,-7450.6753,2072.557,-6485.518,-7818.901,-7707.955,-1973.7649,1689.5461,497.72247,-3398.146,-1461.6719,-5240.055,-3018.3792,-5701.048,2460.988,2791.3499,-4826.0796,2819.2703,-4921.436,-2083.445,-349.31003,3030.5867,-5315.4624,-1674.9918,-384.1672,2522.182,-1492.0973,-8129.481,6229.9272,-4703.1997,1737.2365,-8677.548,3154.1921,-628.4054,-3607.0957,4343.2207,-7803.3945,-1482.3972,1489.43,X,0.0,111A
3278.2798,-1344.7294,-3511.7905,173.66553,181.09862,5613.6934,-1932.578,-2221.0742,6902.427,2311.326,911.4008,111.58849,-564.1877,-360.84967,-429.99466,-4297.388,-6607.2324,-6313.57,-3020.6528,-4684.808,-3995.1099,3233.1926,-2753.4272,2046.0234,-9394.05,-7762.889,-4240.709,-7245.052,-2326.275,1107.6561,-2345.3977,-3085.688,-5169.876,-6098.6216,-9763.684,-2307.2217,1727.3289,943.1679,3569.3542,-825.98334,-7115.8296,-681.3321,-1290.5455,1261.6346,-3873.2158,1344.5793,-10179.823,-6065.0376,1944.2726,-5615.074,-2724.0977,-1808.3235,2565.3523,6331.2114,-6381.3555,-2592.6719,-7776.833,1159.056,-1167.2034,-5562.1924,-915.3571,196.96693,4831.9395,817.6748,-2992.5964,-1401.4626,-2041.5897,-2149.4216,-4050.94,-3034.1013,-6988.6943,938.02686,1878.674,2550.809,-1620.9099,-3418.324,1781.9419,-7050.287,-4827.459,-8715.827,-3155.0322,-4531.0615,3502.8748,2432.9456,-1535.6996,-6202.84,-2709.6743,-6675.925,-1311.3817,-8797.933,2160.7615,-6732.9604,1839.6493,-5870.038,-7039.5156,-6805.52,-1787.2668,1481.4105,433.20337,-2962.6008,-1385.5951,-4714.014,-2746.983,-5162.656,2160.37,2426.65,-4277.7134,2517.5747,-4378.7896,-1859.0116,-339.48965,2639.3503,-4773.5947,-1488.7992,-316.48096,2241.3193,-1219.101,-7293.2744,5601.651,-4293.138,1685.7023,-7759.1567,2893.817,-527.04126,-3313.0786,3847.0337,-6970.3447,-1264.0305,639.8,X,14.0,093A
2646.0776,-1151.0228,-2810.9138,96.25227,145.96419,4472.471,-1561.2356,-1813.3145,5511.345,1870.5345,620.05695,78.99859,-487.3552,-379.97205,-397.91684,-3478.1226,-5370.067,-5045.2583,-2368.9329,-3636.5393,-3244.4092,2661.7034,-2210.138,1626.0555,-7629.3545,-6255.3765,-3299.6003,-5932.048,-1867.2833,888.8945,-1856.7373,-2539.8894,-4158.5884,-4826.6963,-7783.9736,-1821.9617,1223.4707,795.8174,2817.5608,-625.9495,-5659.606,-583.8313,-1075.6006,977.24194,-3152.8616,1109.9493,-8182.2803,-4886.8755,1527.6262,-4410.2397,-2177.2847,-1473.5414,2047.5648,5050.277,-5102.514,-2094.403,-6262.622,793.85095,-951.5822,-4452.3154,-691.3405,155.15201,3770.1487,628.603,-2375.5334,-1132.6074,-1711.0765,-1729.1682,-3333.889,-2398.034,-5668.267,758.658,1495.48,2065.2886,-1303.9856,-2734.1704,1488.6316,-5682.405,-3730.9905,-6986.817,-2423.8066,-3661.9785,2749.2126,1974.3494,-1336.5282,-5047.0654,-2327.477,-5427.5137,-1058.518,-7055.3135,1660.2277,-5410.081,1453.4565,-4715.028,-5673.6846,-5422.7656,-1508.7181,1142.116,279.6048,-2288.2078,-1062.9019,-3840.8228,-2183.2434,-4114.162,1756.0614,2006.9167,-3618.69,2007.7529,-3536.1277,-1530.4354,-275.84976,2082.036,-3804.9607,-1213.0284,-339.80276,1747.0459,-957.11804,-5764.4155,4464.656,-3435.9626,1251.2836,-6271.4844,2334.656,-432.4869,-2692.4211,3167.5583,-5589.8926,-955.143,488.86,M,11.0,015A
3305.0806,-1391.9594,-3528.5679,110.12848,158.15314,5588.6187,-1933.7782,-2307.5168,6865.367,2308.753,789.813,124.22257,-578.9787,-458.21497,-368.94244,-4329.2183,-6506.4805,-6357.3413,-2963.0437,-4541.7314,-3912.6953,3379.015,-2772.1978,2038.6245,-9203.512,-7677.0063,-4121.783,-7213.471,-2349.2542,1152.2549,-2263.7722,-3093.104,-5215.9414,-6185.596,-9568.882,-2251.8276,1529.1633,919.8337,3452.474,-834.87366,-7044.026,-604.4032,-1373.581,1297.0776,-3776.0247,1357.4836,-10172.697,-6075.0137,2065.9019,-5603.253,-2668.2388,-1895.9614,2540.0242,6223.9043,-6269.8843,-2624.6387,-7762.4307,1026.0804,-1173.7927,-5572.8877,-932.7299,167.2425,4672.792,779.9692,-2932.7048,-1400.1835,-2132.043,-2105.0286,-4125.812,-2947.823,-7015.0923,845.51154,1860.8784,2631.9556,-1530.4324,-3476.1602,1830.403,-6950.6226,-4734.139,-8712.745,-3033.2659,-4520.556,3391.2188,2452.4355,-1690.9902,-6303.9956,-2865.894,-6600.1724,-1259.4869,-8804.028,2036.8942,-6646.2373,1921.1224,-5912.675,-7007.063,-6867.9565,-1761.5253,1429.0204,380.95984,-2876.2278,-1391.5148,-4710.565,-2748.627,-5181.7393,2185.9573,2492.345,-4310.451,2556.83,-4439.321,-1821.2196,-368.01202,2614.4753,-4772.35,-1462.8541,-485.88577,2184.171,-1230.5782,-7223.9697,5551.8247,-4165.4404,1626.9219,-7756.3096,2857.7566,-532.3198,-3346.048,3955.225,-6894.2236,-1315.5594,396.75,X,17.0,097A
